AMC,BUY ,626.05,141,1534848938300,2022-12-03 20:55:38.3
ANZ,SELL,959.55,798,1534848939433,2022-12-03 20:55:39.433
AGL,BUY ,239.77,38,1534848940438,2022-12-03 20:55:40.438
ANZ,SELL,370.71,544,1534848941439,2022-12-03 20:55:41.439
ANZ,BUY ,80.74,626,1534848942442,2022-12-03 20:55:42.442
ANZ,SELL,388.20,874,1534848943444,2022-12-03 20:55:43.444
ANZ,BUY ,311.74,678,1534848944445,2022-12-03 20:55:44.445
AMC,SELL,202.78,880,1534848945450,2022-12-03 20:55:45.45
AMC,BUY ,163.69,468,1534848946454,2022-12-03 20:55:46.454
ANZ,SELL,510.63,448,1534848947459,2022-12-03 20:55:47.459
AGL,BUY ,427.07,671,1534848948465,2022-12-03 20:55:48.465
AGL,SELL,379.98,489,1534848949466,2022-12-03 20:55:49.466
AMC,BUY ,599.98,515,1534848950471,2022-12-03 20:55:50.471

#Some network delay induced..

ANZ,SELL,787.26,206,1534848951648,2022-12-03 20:55:51.648
AMC,BUY ,43.02,23,1534848952652,2022-12-03 20:55:52.652
AMC,SELL,950.46,770,1534848953657,2022-12-03 20:55:53.657
AGL,BUY ,366.66,188,1534848954663,2022-12-03 20:55:54.663
AMC,SELL,229.15,460,1534848955665,2022-12-03 20:55:55.665
ANZ,BUY ,934.27,284,1534848956670,2022-12-03 20:55:56.67
ANZ,SELL,283.13,698,1534848957672,2022-12-03 20:55:57.672
AMC,BUY ,802.42,189,1534848958676,2022-12-03 20:55:58.676
ANZ,SELL,386.11,647,1534848959680,2022-12-03 20:55:59.68
AMC,BUY ,639.58,342,1534848960681,2022-12-03 20:56:00.681
AMC,SELL,276.02,790,1534848961684,2022-12-03 20:56:01.684
ANZ,BUY ,165.67,303,1534848962688,2022-12-03 20:56:02.688
AGL,SELL,690.17,710,1534848963691,2022-12-03 20:56:03.691
AGL,BUY ,436.84,106,1534848964694,2022-12-03 20:56:04.694
AMC,SELL,781.34,565,1534848965699,2022-12-03 20:56:05.699
AGL,BUY ,863.47,158,1534848966702,2022-12-03 20:56:06.702
AMC,SELL,939.90,567,1534848967706,2022-12-03 20:56:07.706
AGL,BUY ,194.14,600,1534848968711,2022-12-03 20:56:08.711
AGL,SELL,157.68,287,1534848969716,2022-12-03 20:56:09.716
AGL,BUY ,824.14,897,1534848970721,2022-12-03 20:56:10.721
AGL,SELL,960.46,410,1534848971725,2022-12-03 20:56:11.725
ANZ,BUY ,694.57,285,1534848972730,2022-12-03 20:56:12.73
ANZ,SELL,109.30,464,1534848973734,2022-12-03 20:56:13.734
AMC,BUY ,736.17,600,1534848974738,2022-12-03 20:56:14.738
ANZ,SELL,724.68,220,1534848975742,2022-12-03 20:56:15.742
AMC,BUY ,282.33,512,1534848976745,2022-12-03 20:56:16.745
AMC,SELL,222.80,225,1534848977749,2022-12-03 20:56:17.749
ANZ,BUY ,125.96,623,1534848978751,2022-12-03 20:56:18.751
AGL,SELL,470.33,660,1534848979752,2022-12-03 20:56:19.752
ANZ,BUY ,927.87,552,1534848980756,2022-12-03 20:56:20.756
AMC,SELL,861.20,599,1534848981760,2022-12-03 20:56:21.76
AMC,BUY ,497.23,631,1534848982763,2022-12-03 20:56:22.763
ANZ,SELL,598.66,201,1534848983765,2022-12-03 20:56:23.765
ANZ,BUY ,59.69,99,1534848984770,2022-12-03 20:56:24.77
ANZ,SELL,325.77,656,1534848985773,2022-12-03 20:56:25.773
AMC,BUY ,4.65,373,1534848986778,2022-12-03 20:56:26.778
AMC,SELL,389.42,513,1534848987783,2022-12-03 20:56:27.783
ANZ,BUY ,760.42,184,1534848988786,2022-12-03 20:56:28.786
ANZ,SELL,445.54,20,1534848989788,2022-12-03 20:56:29.788
AGL,BUY ,384.35,73,1534848990792,2022-12-03 20:56:30.792
AGL,SELL,817.49,170,1534848991795,2022-12-03 20:56:31.795
AMC,BUY ,174.98,261,1534848992800,2022-12-03 20:56:32.8
AGL,SELL,4.84,560,1534848993803,2022-12-03 20:56:33.803
ANZ,BUY ,114.00,183,1534848994808,2022-12-03 20:56:34.808
AMC,SELL,6.34,572,1534848995813,2022-12-03 20:56:35.813
AMC,BUY ,228.21,473,1534848996818,2022-12-03 20:56:36.818
AMC,SELL,668.92,628,1534848997822,2022-12-03 20:56:37.822
AGL,BUY ,25.06,303,1534848998826,2022-12-03 20:56:38.826
AMC,SELL,103.34,484,1534848999831,2022-12-03 20:56:39.831
AMC,BUY ,999.97,314,1534849000836,2022-12-03 20:56:40.836
ANZ,SELL,317.83,46,1534849001839,2022-12-03 20:56:41.839
AMC,BUY ,839.99,264,1534849002844,2022-12-03 20:56:42.844
ANZ,SELL,612.27,345,1534849003849,2022-12-03 20:56:43.849
AGL,BUY ,355.03,422,1534849004851,2022-12-03 20:56:44.851
AMC,SELL,948.74,852,1534849005854,2022-12-03 20:56:45.854
AMC,BUY ,356.88,568,1534849006858,2022-12-03 20:56:46.858
AGL,SELL,467.96,377,1534849007863,2022-12-03 20:56:47.863
AGL,BUY ,675.63,533,1534849008867,2022-12-03 20:56:48.867
ANZ,SELL,556.80,380,1534849009871,2022-12-03 20:56:49.871
AMC,BUY ,254.28,565,1534849010876,2022-12-03 20:56:50.876
AGL,SELL,388.44,540,1534849011878,2022-12-03 20:56:51.878
AGL,BUY ,794.32,492,1534849012880,2022-12-03 20:56:52.88
AGL,SELL,654.77,254,1534849013885,2022-12-03 20:56:53.885
ANZ,BUY ,738.93,14,1534849014886,2022-12-03 20:56:54.886
AGL,SELL,289.57,471,1534849015889,2022-12-03 20:56:55.889
AMC,BUY ,474.66,379,1534849016893,2022-12-03 20:56:56.893
AMC,SELL,341.52,160,1534849017897,2022-12-03 20:56:57.897
AGL,BUY ,508.92,866,1534849018902,2022-12-03 20:56:58.902
AMC,SELL,797.48,57,1534849019905,2022-12-03 20:56:59.905
ANZ,BUY ,37.51,863,1534849020909,2022-12-03 20:57:00.909
AGL,SELL,79.61,416,1534849021914,2022-12-03 20:57:01.914
AMC,BUY ,754.99,590,1534849022919,2022-12-03 20:57:02.919
ANZ,SELL,143.76,768,1534849023922,2022-12-03 20:57:03.922
ANZ,BUY ,980.53,79,1534849024927,2022-12-03 20:57:04.927
AMC,SELL,591.99,477,1534849025932,2022-12-03 20:57:05.932
AMC,BUY ,172.65,458,1534849026936,2022-12-03 20:57:06.936
ANZ,SELL,978.78,276,1534849027938,2022-12-03 20:57:07.938
AMC,BUY ,688.62,858,1534849028940,2022-12-03 20:57:08.94
ANZ,SELL,538.14,445,1534849029944,2022-12-03 20:57:09.944
ANZ,BUY ,207.81,564,1534849030947,2022-12-03 20:57:10.947
AGL,SELL,888.17,682,1534849031952,2022-12-03 20:57:11.952
